outcome,match,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality,p_durbin_watson,autocorrelation
X1_verbalni_pamet_a_uceni_pok1,DO,.182,,0,.288,,.450,
X1_verbalni_pamet_a_uceni_pok1,VE,.005,*,0,.458,,.778,
X1_verbalni_pamet_a_uceni_pok1,KOD,.021,*,0,.077,,.818,
X1_verbalni_pamet_a_uceni_pok1,PO,.333,,0,.170,,.694,
X1_verbalni_pamet_a_uceni_pok1,ŘO,.416,,0,.069,,.748,
X1_verbalni_pamet_a_uceni_pok1,POČ,.093,,0,.241,,.016,*
X1_verbalni_pamet_a_uceni_pok1,KOS,.052,,0,.312,,.042,*
X1_verbalni_pamet_a_uceni_pok1,SLO,.108,,0,.363,,.822,
X1_verbalni_pamet_a_uceni_pok1,POR,.041,*,0,.369,,.750,
X1_verbalni_pamet_a_uceni_pok2,DO,.181,,0,.256,,.154,
X1_verbalni_pamet_a_uceni_pok2,VE,.395,,0,.183,,.498,
X1_verbalni_pamet_a_uceni_pok2,KOD,.232,,0,.198,,.348,
X1_verbalni_pamet_a_uceni_pok2,PO,.787,,0,.460,,.966,
X1_verbalni_pamet_a_uceni_pok2,ŘO,.468,,0,.468,,.052,
X1_verbalni_pamet_a_uceni_pok2,POČ,.687,,0,.261,,.464,
X1_verbalni_pamet_a_uceni_pok2,KOS,.587,,0,.583,,.800,
X1_verbalni_pamet_a_uceni_pok2,SLO,.233,,0,.250,,.406,
X1_verbalni_pamet_a_uceni_pok2,POR,.955,,0,.502,,.974,
X1_verbalni_pamet_a_uceni_pok3,DO,.408,,1,.582,,.020,*
X1_verbalni_pamet_a_uceni_pok3,VE,.457,,0,.881,,.552,
X1_verbalni_pamet_a_uceni_pok3,KOD,.476,,0,.162,,.056,
X1_verbalni_pamet_a_uceni_pok3,PO,.714,,0,.234,,.806,
X1_verbalni_pamet_a_uceni_pok3,ŘO,.764,,0,.445,,.774,
X1_verbalni_pamet_a_uceni_pok3,POČ,.951,,0,.045,*,.730,
X1_verbalni_pamet_a_uceni_pok3,KOS,.997,,0,.565,,.152,
X1_verbalni_pamet_a_uceni_pok3,SLO,.157,,0,.572,,.406,
X1_verbalni_pamet_a_uceni_pok3,POR,.686,,0,.266,,.302,
X1_verbalni_pamet_a_uceni_pok4,DO,.524,,0,.025,*,.034,*
X1_verbalni_pamet_a_uceni_pok4,VE,.806,,0,.502,,.376,
X1_verbalni_pamet_a_uceni_pok4,KOD,.703,,0,.297,,.260,
X1_verbalni_pamet_a_uceni_pok4,PO,.063,,0,.197,,.126,
X1_verbalni_pamet_a_uceni_pok4,ŘO,.416,,0,.178,,.338,
X1_verbalni_pamet_a_uceni_pok4,POČ,.899,,0,.017,*,.482,
X1_verbalni_pamet_a_uceni_pok4,KOS,.211,,0,.187,,.296,
X1_verbalni_pamet_a_uceni_pok4,SLO,.813,,0,.055,,.588,
X1_verbalni_pamet_a_uceni_pok4,POR,.338,,0,.033,*,.780,
X1_verbalni_pamet_a_uceni_pok_1.4,DO,.949,,0,.225,,.006,*
X1_verbalni_pamet_a_uceni_pok_1.4,VE,.373,,0,.911,,.594,
X1_verbalni_pamet_a_uceni_pok_1.4,KOD,.660,,0,.499,,.068,
X1_verbalni_pamet_a_uceni_pok_1.4,PO,.635,,0,.552,,.446,
X1_verbalni_pamet_a_uceni_pok_1.4,ŘO,.547,,0,.236,,.676,
X1_verbalni_pamet_a_uceni_pok_1.4,POČ,.849,,0,.113,,.848,
X1_verbalni_pamet_a_uceni_pok_1.4,KOS,.820,,0,.176,,.114,
X1_verbalni_pamet_a_uceni_pok_1.4,SLO,.282,,0,.276,,.626,
X1_verbalni_pamet_a_uceni_pok_1.4,POR,.808,,0,.258,,.528,
X1_verbalni_pamet_a_uceni_opak_1.4,DO,.777,,1,< .001,*,.694,
X1_verbalni_pamet_a_uceni_opak_1.4,VE,.666,,0,< .001,*,.338,
X1_verbalni_pamet_a_uceni_opak_1.4,KOD,.107,,0,< .001,*,.640,
X1_verbalni_pamet_a_uceni_opak_1.4,PO,.217,,0,.001,*,.814,
X1_verbalni_pamet_a_uceni_opak_1.4,ŘO,.136,,0,< .001,*,.446,
X1_verbalni_pamet_a_uceni_opak_1.4,POČ,.057,,0,.002,*,.340,
X1_verbalni_pamet_a_uceni_opak_1.4,KOS,.246,,0,< .001,*,.600,
X1_verbalni_pamet_a_uceni_opak_1.4,SLO,.012,*,0,.005,*,1.000,
X1_verbalni_pamet_a_uceni_opak_1.4,POR,.032,*,0,< .001,*,.678,
X1_verbalni_pamet_a_uceni_konfab_1.4,DO,.111,,1,< .001,*,.608,
X1_verbalni_pamet_a_uceni_konfab_1.4,VE,.295,,0,< .001,*,.452,
X1_verbalni_pamet_a_uceni_konfab_1.4,KOD,.107,,0,< .001,*,.478,
X1_verbalni_pamet_a_uceni_konfab_1.4,PO,.006,*,0,< .001,*,.512,
X1_verbalni_pamet_a_uceni_konfab_1.4,ŘO,.025,*,0,< .001,*,.714,
X1_verbalni_pamet_a_uceni_konfab_1.4,POČ,.359,,0,< .001,*,.810,
X1_verbalni_pamet_a_uceni_konfab_1.4,KOS,.774,,0,< .001,*,.254,
X1_verbalni_pamet_a_uceni_konfab_1.4,SLO,.699,,0,< .001,*,.474,
X1_verbalni_pamet_a_uceni_konfab_1.4,POR,.944,,0,< .001,*,.410,
X1_verbalni_pamet_a_uceni_pok5,DO,.002,*,1,.016,*,.728,
X1_verbalni_pamet_a_uceni_pok5,VE,.307,,0,.048,*,.722,
X1_verbalni_pamet_a_uceni_pok5,KOD,.648,,0,.207,,.326,
X1_verbalni_pamet_a_uceni_pok5,PO,.856,,0,.146,,.698,
X1_verbalni_pamet_a_uceni_pok5,ŘO,.192,,0,.192,,.798,
X1_verbalni_pamet_a_uceni_pok5,POČ,.788,,0,.439,,.574,
X1_verbalni_pamet_a_uceni_pok5,KOS,.252,,0,.174,,.538,
X1_verbalni_pamet_a_uceni_pok5,SLO,.381,,0,.232,,.566,
X1_verbalni_pamet_a_uceni_pok5,POR,< .001,*,1,.006,*,.784,
X1_verbalni_pamet_a_uceni_pok6,DO,.929,,0,.060,,.588,
X1_verbalni_pamet_a_uceni_pok6,VE,.710,,0,.664,,.828,
X1_verbalni_pamet_a_uceni_pok6,KOD,.251,,0,.024,*,.106,
X1_verbalni_pamet_a_uceni_pok6,PO,.935,,0,.421,,.452,
X1_verbalni_pamet_a_uceni_pok6,ŘO,.683,,0,.316,,.592,
X1_verbalni_pamet_a_uceni_pok6,POČ,.779,,0,.081,,.790,
X1_verbalni_pamet_a_uceni_pok6,KOS,.934,,0,.169,,.518,
X1_verbalni_pamet_a_uceni_pok6,SLO,.475,,0,.121,,.484,
X1_verbalni_pamet_a_uceni_pok6,POR,.962,,0,.242,,.816,
X1_verbalni_pamet_a_uceni_pok7,DO,.292,,0,.292,,.266,
X1_verbalni_pamet_a_uceni_pok7,VE,.437,,0,.768,,.964,
X1_verbalni_pamet_a_uceni_pok7,KOD,.511,,0,.559,,.494,
X1_verbalni_pamet_a_uceni_pok7,PO,.787,,0,.448,,.764,
X1_verbalni_pamet_a_uceni_pok7,ŘO,.917,,0,.847,,.922,
X1_verbalni_pamet_a_uceni_pok7,POČ,.407,,0,.148,,.808,
X1_verbalni_pamet_a_uceni_pok7,KOS,.947,,0,.337,,.776,
X1_verbalni_pamet_a_uceni_pok7,SLO,.159,,0,.676,,.370,
X1_verbalni_pamet_a_uceni_pok7,POR,.492,,1,.581,,.346,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,DO,.049,*,0,.004,*,.472,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,VE,.013,*,0,.008,*,.422,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,KOD,.023,*,0,.030,*,.400,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,PO,.017,*,0,.002,*,.544,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,ŘO,.035,*,0,< .001,*,.500,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,POČ,.157,,0,.016,*,.922,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,KOS,.062,,0,.002,*,1.000,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,SLO,.979,,0,< .001,*,.814,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,POR,.729,,0,< .001,*,.398,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,DO,.028,*,0,.001,*,.134,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,VE,.005,*,0,.006,*,.534,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,KOD,.005,*,0,< .001,*,.686,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,PO,< .001,*,0,.115,,.190,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,ŘO,.092,,0,< .001,*,.528,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,POČ,.086,,0,.047,*,.916,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,KOS,.024,*,0,< .001,*,.760,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,SLO,.038,*,0,.003,*,.552,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,POR,.133,,0,< .001,*,.388,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,DO,< .001,*,1,< .001,*,.226,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,VE,< .001,*,0,< .001,*,.092,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,KOD,< .001,*,0,< .001,*,.140,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,PO,< .001,*,1,< .001,*,.154,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,ŘO,< .001,*,0,< .001,*,.142,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,POČ,< .001,*,1,< .001,*,.886,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,KOS,< .001,*,0,< .001,*,.126,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,SLO,< .001,*,1,< .001,*,.172,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,POR,< .001,*,0,< .001,*,.112,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,DO,.006,*,1,.003,*,.764,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,VE,< .001,*,0,< .001,*,.122,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,KOD,< .001,*,0,< .001,*,.924,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,PO,.004,*,0,< .001,*,.040,*
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,ŘO,< .001,*,0,< .001,*,.004,*
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,POČ,< .001,*,0,.003,*,.666,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,KOS,< .001,*,0,< .001,*,.002,*
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,SLO,< .001,*,0,< .001,*,.012,*
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,POR,< .001,*,1,< .001,*,.260,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,DO,.087,,0,.021,*,.908,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,VE,< .001,*,0,.039,*,.206,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,KOD,.021,*,0,.009,*,.408,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,PO,.002,*,0,.005,*,.044,*
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,ŘO,.007,*,0,< .001,*,.014,*
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,POČ,< .001,*,0,.042,*,.902,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,KOS,< .001,*,0,.008,*,.112,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,SLO,< .001,*,0,< .001,*,.104,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,POR,< .001,*,1,.001,*,.908,
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,DO,< .001,*,1,.122,,.520,
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,VE,< .001,*,0,< .001,*,.474,
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,KOD,< .001,*,0,< .001,*,.360,
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,PO,< .001,*,0,< .001,*,.200,
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,ŘO,< .001,*,0,< .001,*,.110,
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,POČ,< .001,*,0,.003,*,.170,
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,KOS,< .001,*,0,< .001,*,.002,*
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,SLO,< .001,*,0,< .001,*,.008,*
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,POR,< .001,*,0,< .001,*,.064,
X2_pamet_na_pribehy_ODDALENE_sum_1_2,DO,.003,*,0,.965,,.358,
X2_pamet_na_pribehy_ODDALENE_sum_1_2,VE,< .001,*,0,.387,,.192,
X2_pamet_na_pribehy_ODDALENE_sum_1_2,KOD,< .001,*,1,.292,,.986,
X2_pamet_na_pribehy_ODDALENE_sum_1_2,PO,< .001,*,0,.984,,.816,
X2_pamet_na_pribehy_ODDALENE_sum_1_2,ŘO,< .001,*,0,.120,,.374,
X2_pamet_na_pribehy_ODDALENE_sum_1_2,POČ,< .001,*,0,.018,*,.674,
X2_pamet_na_pribehy_ODDALENE_sum_1_2,KOS,< .001,*,0,.052,,.140,
X2_pamet_na_pribehy_ODDALENE_sum_1_2,SLO,< .001,*,0,.364,,.242,
X2_pamet_na_pribehy_ODDALENE_sum_1_2,POR,< .001,*,0,.049,*,.838,
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,DO,.007,*,0,.696,,.288,
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,VE,< .001,*,0,.797,,.846,
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,KOD,.099,,0,.225,,.310,
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,PO,< .001,*,0,.435,,.410,
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,ŘO,.601,,0,.216,,.056,
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,POČ,< .001,*,0,.011,*,.652,
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,KOS,< .001,*,0,.033,*,.200,
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,SLO,.033,*,0,.160,,.508,
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,POR,.004,*,0,.854,,.770,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,DO,.020,*,1,.164,,.898,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,VE,< .001,*,0,.005,*,.018,*
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,KOD,< .001,*,1,< .001,*,.140,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,PO,.020,*,0,.123,,.708,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,ŘO,< .001,*,0,< .001,*,.466,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,POČ,< .001,*,0,< .001,*,.518,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,KOS,< .001,*,0,.002,*,.770,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,SLO,< .001,*,0,< .001,*,.356,
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,POR,< .001,*,0,.001,*,.484,
X4_sluchova_pozornost_sum_body,DO,.311,,0,< .001,*,.098,
X4_sluchova_pozornost_sum_body,VE,.039,*,0,< .001,*,.106,
X4_sluchova_pozornost_sum_body,KOD,.518,,0,< .001,*,.062,
X4_sluchova_pozornost_sum_body,PO,.016,*,0,< .001,*,.012,*
X4_sluchova_pozornost_sum_body,ŘO,.181,,0,< .001,*,.002,*
X4_sluchova_pozornost_sum_body,POČ,.284,,0,< .001,*,.120,
X4_sluchova_pozornost_sum_body,KOS,.705,,0,< .001,*,.010,*
X4_sluchova_pozornost_sum_body,SLO,.094,,0,< .001,*,.034,*
X4_sluchova_pozornost_sum_body,POR,.031,*,0,< .001,*,.114,
X4_sluchova_pozornost_opomenuti,DO,.363,,0,< .001,*,.274,
X4_sluchova_pozornost_opomenuti,VE,.018,*,0,< .001,*,.374,
X4_sluchova_pozornost_opomenuti,KOD,.528,,0,< .001,*,.078,
X4_sluchova_pozornost_opomenuti,PO,.028,*,0,< .001,*,.112,
X4_sluchova_pozornost_opomenuti,ŘO,.372,,0,< .001,*,.014,*
X4_sluchova_pozornost_opomenuti,POČ,.198,,0,< .001,*,.318,
X4_sluchova_pozornost_opomenuti,KOS,.678,,0,< .001,*,.036,*
X4_sluchova_pozornost_opomenuti,SLO,.033,*,0,< .001,*,.146,
X4_sluchova_pozornost_opomenuti,POR,.011,*,0,< .001,*,.186,
X4_sluchova_pozornost_zamena,DO,.008,*,0,< .001,*,.126,
X4_sluchova_pozornost_zamena,VE,.002,*,0,< .001,*,.488,
X4_sluchova_pozornost_zamena,KOD,.002,*,0,< .001,*,.866,
X4_sluchova_pozornost_zamena,PO,< .001,*,0,< .001,*,.466,
X4_sluchova_pozornost_zamena,ŘO,< .001,*,0,< .001,*,.798,
X4_sluchova_pozornost_zamena,POČ,< .001,*,0,< .001,*,.680,
X4_sluchova_pozornost_zamena,KOS,< .001,*,1,< .001,*,.436,
X4_sluchova_pozornost_zamena,SLO,< .001,*,0,< .001,*,.380,
X4_sluchova_pozornost_zamena,POR,< .001,*,0,< .001,*,.698,
X4_sluchova_pozornost_inhibice,DO,< .001,*,0,< .001,*,.086,
X4_sluchova_pozornost_inhibice,VE,< .001,*,1,< .001,*,.184,
X4_sluchova_pozornost_inhibice,KOD,< .001,*,0,< .001,*,.932,
X4_sluchova_pozornost_inhibice,PO,< .001,*,1,< .001,*,.056,
X4_sluchova_pozornost_inhibice,ŘO,< .001,*,0,< .001,*,.310,
X4_sluchova_pozornost_inhibice,POČ,< .001,*,1,< .001,*,.684,
X4_sluchova_pozornost_inhibice,KOS,< .001,*,0,< .001,*,.840,
X4_sluchova_pozornost_inhibice,SLO,< .001,*,0,< .001,*,.632,
X4_sluchova_pozornost_inhibice,POR,< .001,*,0,< .001,*,.768,
X5_zrakova_pozornost_n_hlav,DO,.112,,0,.103,,.650,
X5_zrakova_pozornost_n_hlav,VE,.035,*,0,.051,,.328,
X5_zrakova_pozornost_n_hlav,KOD,.371,,0,.021,*,.382,
X5_zrakova_pozornost_n_hlav,PO,.002,*,0,.386,,.682,
X5_zrakova_pozornost_n_hlav,ŘO,.091,,0,.055,,.662,
X5_zrakova_pozornost_n_hlav,POČ,.005,*,0,.033,*,.486,
X5_zrakova_pozornost_n_hlav,KOS,.010,*,0,.251,,.820,
X5_zrakova_pozornost_n_hlav,SLO,.017,*,0,.030,*,.714,
X5_zrakova_pozornost_n_hlav,POR,.098,,0,.057,,.596,
X5_zrakova_pozornost_n_opomenuti,DO,.024,*,0,< .001,*,.762,
X5_zrakova_pozornost_n_opomenuti,VE,.018,*,0,< .001,*,.622,
X5_zrakova_pozornost_n_opomenuti,KOD,< .001,*,0,< .001,*,.398,
X5_zrakova_pozornost_n_opomenuti,PO,< .001,*,0,< .001,*,.928,
X5_zrakova_pozornost_n_opomenuti,ŘO,< .001,*,0,< .001,*,.688,
X5_zrakova_pozornost_n_opomenuti,POČ,.950,,0,< .001,*,.928,
X5_zrakova_pozornost_n_opomenuti,KOS,< .001,*,0,< .001,*,.636,
X5_zrakova_pozornost_n_opomenuti,SLO,< .001,*,0,< .001,*,.682,
X5_zrakova_pozornost_n_opomenuti,POR,.021,*,0,< .001,*,.540,
X5_zrakova_pozornost_n_zamena,DO,.121,,0,< .001,*,.910,
X5_zrakova_pozornost_n_zamena,VE,.025,*,0,< .001,*,.430,
X5_zrakova_pozornost_n_zamena,KOD,.001,*,0,< .001,*,.468,
X5_zrakova_pozornost_n_zamena,PO,< .001,*,0,< .001,*,.754,
X5_zrakova_pozornost_n_zamena,ŘO,.002,*,0,< .001,*,.304,
X5_zrakova_pozornost_n_zamena,POČ,< .001,*,0,< .001,*,.936,
X5_zrakova_pozornost_n_zamena,KOS,.001,*,0,< .001,*,.874,
X5_zrakova_pozornost_n_zamena,SLO,.001,*,0,< .001,*,.830,
X5_zrakova_pozornost_n_zamena,POR,.068,,0,< .001,*,.508,
X7_inhibice_a_presun_pozornosti_pojm_cas,DO,.107,,0,< .001,*,.720,
X7_inhibice_a_presun_pozornosti_pojm_cas,VE,< .001,*,0,.014,*,.284,
X7_inhibice_a_presun_pozornosti_pojm_cas,KOD,< .001,*,0,< .001,*,.804,
X7_inhibice_a_presun_pozornosti_pojm_cas,PO,< .001,*,0,< .001,*,.320,
X7_inhibice_a_presun_pozornosti_pojm_cas,ŘO,< .001,*,0,< .001,*,.414,
X7_inhibice_a_presun_pozornosti_pojm_cas,POČ,< .001,*,0,< .001,*,.244,
X7_inhibice_a_presun_pozornosti_pojm_cas,KOS,< .001,*,0,< .001,*,.678,
X7_inhibice_a_presun_pozornosti_pojm_cas,SLO,< .001,*,0,< .001,*,.500,
X7_inhibice_a_presun_pozornosti_pojm_cas,POR,.001,*,0,< .001,*,.254,
X7_inhibice_a_presun_pozornosti_pojm_neopr_chyby,DO,< .001,*,0,< .001,*,.440,
